DefaultSC.A1ModJulian     DefaultSC.Earth.Altitude   DefaultSC.Earth.ECC       DefaultSC.Earth.RadApo    DefaultSC.Earth.RadPer    DefaultSC.Earth.Latitude   
58127.01577687755         436.0122077039805          0.002025152622132129      6793.859615612623         6766.398024296374         81.90568275090831          
58127.01626039133         435.824032150399           0.001989434775899948      6793.592717278386         6766.615567348502         81.95274198883421          
58127.01657635516         435.6581334811717          0.001960711668380331      6793.427459402545         6766.839685385404         81.51630365461696          
58127.01691995691         435.439539357275           0.001924711267695365      6793.256181662278         6767.156302958531         80.68663533763493          
58127.01726458846         435.1808163399783          0.001883697341849101      6793.093376015748         6767.54922958581          79.56959694724377          
58127.01760342622         434.8885545940011          0.001838684120487621      6792.942193693352         6768.007890115528         78.27166928037926          
58127.01793072584         434.5713319631677          0.001790901211609151      6792.804590019633         6768.517601675505         76.88509553826715          
58127.01824412427         434.2362348860497          0.001741300747582992      6792.680617930053         6769.065539208098         75.46977583006094          
58127.01855675702         433.8722838008189          0.001688195273587594      6792.564529484106         6769.668831225265         73.99531186298675          
58127.01874372514         433.6408639160682          0.001654760430817497      6792.498706550781         6770.055927801055         73.09033046115131          
58127.01882872818         433.5323225244638          0.001639155478493322      6792.469668415241         6770.238281376135         72.67407342096975          
58127.01886446359         433.4860782337964          0.001632520782373209      6792.457625873005         6770.316115872979         72.49825546316835          
58127.01890005718         433.4396589973558          0.001625869682146987      6792.445728207796         6770.394317773226         72.32267176769815          
58127.01894819398         433.3763154934932          0.001616809021426958      6792.429791937883         6770.501122877819         72.08450028592164          
58127.01897326978         433.343061514779           0.00161205910005448       6792.421560391164         6770.557236996989         71.96011541741805          
58127.01899739105         433.3109082403762          0.001607470111376441      6792.413687360622         6770.611529704345         71.84026720203762          
58127.01903009794         433.2670528020226          0.00160121658858195       6792.40308269855          6770.685640043287         71.67745714979695          
58127.01908446195         433.1935053563047          0.001590743376907887      6792.385635759039         6770.810072017188         71.4060906814484           
58127.01914651044         433.1085727094142          0.001578670340324205      6792.365996255634         6770.95398528445          71.09526496647422          
58127.01922405333         433.0009629426504          0.001563405420172559      6792.341861306065         6771.136645492144         70.70525340785852          
58127.01930744598         432.8834349933622          0.001546772074361016      6792.316410716027         6771.336531119272         70.28398361534815          
58127.01939703006         432.7551294823943          0.001528656974397559      6792.289651257433         6771.555185248461         69.82944696692105          
